,index,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NBA_PER,NBA_vorp,NBA_bpm,NBA_ws_per_48,NBA_ws,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
151,415,415,/players/b/boneyde01.html,Dexter Boney,1997,1997,G,UNLV,6-4,185.0,"April 27, 1970",0.316,8,2.4,0.75,0.8,2.4,0.8,1.0,0.1,0.8,0.167,0.342,10.2,0.0,-6.1,0.013,0.0,0.504,56.0,15.1,0.619,5.6,11.2,2.6,4.2,1.2,3.3,0.373
152,418,418,/players/b/bonnean01.html,Anthony Bonner,1991,1996,F,Saint Louis,6-8,215.0,"June 8, 1968",0.468,318,6.9,0.59,2.8,5.9,1.4,2.3,0.0,0.1,0.125,0.469,11.5,0.1,-2.0,0.07,10.8,0.539,133.0,14.8,0.634,5.8,10.8,3.2,5.0,0.0,0.1,0.333
153,419,419,/players/b/bonnema01.html,Matt Bonner,2005,2016,F,Florida,6-10,235.0,"April 5, 1980",0.464,792,5.8,0.78,2.2,4.8,0.4,0.5,1.0,2.4,0.414,0.57,13.6,10.1,1.0,0.138,38.5,0.503,131.0,12.0,0.74,4.4,8.8,1.9,2.5,1.3,3.2,0.395
154,421,421,/players/b/bookede01.html,Devin Booker,2016,2022,G,Kentucky,6-5,206.0,"October 30, 1996",0.457,477,23.5,0.87,8.2,18.0,5.0,5.8,2.1,5.7,0.357,0.513,18.0,10.2,0.5,0.089,29.9,0.47,38.0,10.0,0.828,3.6,7.6,1.4,1.7,1.5,3.7,0.411
155,422,422,/players/b/bookeme01.html,Melvin Booker,1996,1997,G,Missouri,6-1,185.0,"August 20, 1972",0.4,32,5.2,0.871,1.9,4.8,0.8,1.0,0.5,1.8,0.268,0.448,8.2,-0.4,-5.1,-0.005,-0.1,0.466,125.0,13.6,0.789,4.5,9.7,3.1,3.9,1.5,3.7,0.392
156,423,423,/players/b/booketr01.html,Trevor Booker,2011,2018,F,Clemson,6-8,228.0,"November 25, 1987",0.515,532,6.9,0.636,2.9,5.6,1.0,1.5,0.1,0.5,0.305,0.528,15.0,4.2,-0.5,0.116,26.2,0.559,134.0,12.9,0.624,5.1,9.2,2.4,3.9,0.2,0.5,0.324
157,426,426,/players/b/boothca01.html,Calvin Booth,2000,2009,C,Penn State,6-11,230.0,"May 7, 1976",0.451,366,3.3,0.748,1.3,2.9,0.7,0.9,0.0,0.0,0.222,0.452,12.4,0.3,-1.8,0.086,8.0,0.507,114.0,11.3,0.707,4.4,8.6,2.5,3.6,0.0,0.1,0.091
158,427,427,/players/b/boothke01.html,Keith Booth,1998,1999,F,Maryland,6-6,226.0,"October 9, 1974",0.325,45,2.9,0.563,1.1,3.5,0.6,1.1,0.0,0.2,0.091,0.328,7.3,-0.5,-6.1,-0.08,-0.8,0.456,126.0,14.1,0.699,4.7,10.2,4.6,6.5,0.2,0.8,0.21
159,429,429,/players/b/boozeca01.html,Carlos Boozer,2003,2015,F-C,Duke,6-9,258.0,"November 20, 1981",0.521,861,16.2,0.722,6.8,13.0,2.6,3.7,0.0,0.0,0.071,0.521,19.5,23.1,1.4,0.143,80.3,0.631,101.0,14.9,0.741,5.5,8.7,3.9,5.3,0.0,0.0,0.0
160,430,430,/players/b/borchcu01.html,Curtis Borchardt,2004,2005,C,Stanford,7-0,240.0,"September 13, 1980",0.421,83,3.1,0.742,1.2,2.7,0.8,1.1,0.0,0.0,0.0,0.421,9.0,-0.5,-3.8,0.041,1.0,0.534,66.0,10.2,0.691,3.5,6.6,2.9,4.2,0.2,0.6,0.375
161,435,435,/players/b/boshch01.html,Chris Bosh,2004,2016,F-C,Georgia Tech,6-11,235.0,"March 24, 1984",0.494,893,19.2,0.799,7.0,14.1,5.0,6.3,0.3,1.0,0.335,0.506,20.6,31.1,1.9,0.159,106.0,0.56,31.0,15.6,0.73,5.4,9.7,4.1,5.6,0.7,1.5,0.478
162,437,437,/players/b/bostobr01.html,Brandon Boston Jr.,2022,2022,G-F,Kentucky,6-7,185.0,"November 28, 2001",0.385,51,6.7,0.819,2.5,6.4,1.2,1.4,0.7,2.2,0.306,0.437,11.2,-0.3,-3.3,0.026,0.4,0.355,25.0,11.5,0.785,4.1,11.6,2.0,2.6,1.2,4.0,0.3
163,440,440,/players/b/bouchch01.html,Chris Boucher,2018,2022,F,Oregon,6-9,200.0,"January 11, 1993",0.483,231,9.0,0.785,3.2,6.5,1.8,2.2,0.9,2.7,0.335,0.552,20.0,3.8,1.7,0.192,16.5,0.532,69.0,12.0,0.641,4.3,8.2,2.2,3.4,1.1,3.2,0.344
